title,price,photo_url,description,stock,merchant_id,active
Pine wand,32,https://i.imgur.com/vHrp5Wl.jpg,the straight-grained pine wand always chooses an independent master who may be perceived as a loner,16,4,true
Red Oak wand,32.99,https://i.imgur.com/vHrp5Wl.jpg,you will often hear the ignorant say that red oak is an infallible sign of its owner’s hot temper,4,8,true
Rowan wand,21.55,https://i.imgur.com/vHrp5Wl.jpg,rowan wood has always been much-favoured for wands because it is reputed to be more protective than any other,12,4,true
Silver Lime wand,22,https://i.imgur.com/vHrp5Wl.jpg,this unusual and highly attractive wand wood was greatly in vogue in the nineteenth century,2,4,true
The Standard Book of Spells Year 1,22,https://i.imgur.com/hIIfn2k.jpg,by Miranda Goshawk,16,4,true
A Beginner's Guide to Transfiguration,15,https://i.imgur.com/hIIfn2k.jpg,by Emeric Switch,2,4,false
A History of Magic,13.99,https://i.imgur.com/hIIfn2k.jpg,by Bathilda Bagshott,15,4,true
Magical Theory,10,https://i.imgur.com/hIIfn2k.jpg,by Adalbert Waffling,14,4,true
One Thousand Magical Herbs and Fungi,14,https://i.imgur.com/hIIfn2k.jpg,by Phyllida Spore,4,8,false
Magical Drafts and Potions,12,https://i.imgur.com/hIIfn2k.jpg,by Arsenius Jigger,12,5,true
Fantastic Beasts and Where to Find Them,22,https://i.imgur.com/hIIfn2k.jpg,by Newt Scamander,5,5,true
The Dark Forces: A Guide to Self-Protection,13,https://i.imgur.com/hIIfn2k.jpg,by Quentin Trimble,3,5,true
The Standard Book of Spells Year 2,23,https://i.imgur.com/hIIfn2k.jpg,by Miranda Goshawk,10,5,true
Break with a Banshee,12,https://i.imgur.com/hIIfn2k.jpg,by Gilderoy Lockhart,3,5,false
Gadding with Ghouls,16,https://i.imgur.com/hIIfn2k.jpg,by Gilderoy Lockhart,6,5,true
Holidays with Hags,10.99,https://i.imgur.com/hIIfn2k.jpg,by Gilderoy Lockhart,3,5,true
Travels with Trolls,8.99,https://i.imgur.com/hIIfn2k.jpg,by Gilderoy Lockhart,12,6,false
Voyages with Vampires,6.99,https://i.imgur.com/hIIfn2k.jpg,by Gilderoy Lockhart,2,6,true
Wandering with Werewolves,5.99,https://i.imgur.com/hIIfn2k.jpg,by Gilderoy Lockhart,14,6,true
Year with the Yeti,13,https://i.imgur.com/hIIfn2k.jpg,by Gilderoy Lockhart,3,6,true
The Standard Book of Spells Year 3,16,https://i.imgur.com/hIIfn2k.jpg,by Miranda Goshawk,3,7,true
Unfogging the Future,14,https://i.imgur.com/hIIfn2k.jpg,by Cassandra Vablatsky,2,7,false
The Essential Defence Against the Dark Arts,15,https://i.imgur.com/hIIfn2k.jpg,by Arsenius Jigger,5,7,true
The Standard Book of Spells Year 4,16,https://i.imgur.com/hIIfn2k.jpg,by Miranda Goshawk,3,7,true
The Dark Forces: A Guide to Self Protection,15.55,https://i.imgur.com/hIIfn2k.jpg,by Quentin Trimble,2,7,true
The Standard Book of Spells Year 5,20,https://i.imgur.com/hIIfn2k.jpg,by Miranda Goshawk,5,7,true
Defensive Magical Theory,15,https://i.imgur.com/hIIfn2k.jpg,by Wilbert Slinkhard,7,8,false
The Standard Book of Spells Year 6,21,https://i.imgur.com/hIIfn2k.jpg,by Miranda Goshawk,6,7,true
Advanced Potion-Making,12,https://i.imgur.com/hIIfn2k.jpg,by Libatius Borage,3,7,true
